threshold,recall_bad,recall_good,model_name
0.85,0.0035740565541890045,0.9938398357289527,Balanced Model
0.86,0.003048460002102386,0.9938398357289527,Balanced Model
0.87,0.0024177441395984442,0.997946611909651,Balanced Model
0.88,0.0016819089666771786,0.997946611909651,Balanced Model
0.89,0.0014716703458425313,1.0,Balanced Model
0.9,0.0011563124145905603,1.0,Balanced Model
0.91,0.0010511931041732366,1.0,Balanced Model
0.92,0.000946073793755913,1.0,Balanced Model
0.93,0.000630715862503942,1.0,Balanced Model
0.9400000000000001,0.0005255965520866183,1.0,Balanced Model
0.9500000000000001,0.000315357931251971,1.0,Balanced Model
0.96,0.00021023862083464732,1.0,Balanced Model
0.97,0.00021023862083464732,1.0,Balanced Model
0.98,0.00021023862083464732,1.0,Balanced Model
0.99,0.00021023862083464732,1.0,Balanced Model
1.0,0.0,1.0,Balanced Model
0.0,0.9998948806895827,0.0,Bias Model
0.01,0.9998948806895827,0.0,Bias Model
0.02,0.9998948806895827,0.0,Bias Model
0.03,0.9998948806895827,0.0,Bias Model
0.04,0.9996846420687481,0.0,Bias Model
0.05,0.9995795227583307,0.0,Bias Model
0.06,0.999369284137496,0.0,Bias Model
0.07,0.999369284137496,0.0,Bias Model
0.08,0.999369284137496,0.0,Bias Model
0.09,0.999369284137496,0.0,Bias Model
0.1,0.999369284137496,0.0,Bias Model
0.11,0.999369284137496,0.0,Bias Model
0.12,0.9992641648270787,0.0,Bias Model
0.13,0.9992641648270787,0.0,Bias Model
0.14,0.9992641648270787,0.0,Bias Model
0.15,0.9988436875854094,0.0,Bias Model
0.16,0.9987385682749921,0.0,Bias Model
0.17,0.9987385682749921,0.0,Bias Model
0.18,0.9986334489645748,0.0,Bias Model
0.19,0.9985283296541575,0.0,Bias Model
0.2,0.9981078524124882,0.0,Bias Model
0.21,0.9978976137916535,0.002053388090349076,Bias Model
0.22,0.9975822558604015,0.002053388090349076,Bias Model
0.23,0.9973720172395669,0.002053388090349076,Bias Model
0.24,0.996741301377063,0.002053388090349076,Bias Model
0.25,0.9960054662041417,0.002053388090349076,Bias Model
0.26,0.995479869652055,0.002053388090349076,Bias Model
0.27,0.9951645117208031,0.002053388090349076,Bias Model
0.28,0.9942184379270472,0.002053388090349076,Bias Model
0.29,0.9936928413749606,0.002053388090349076,Bias Model
0.3,0.9927467675812046,0.002053388090349076,Bias Model
0.31,0.9919058130978661,0.002053388090349076,Bias Model
0.32,0.9912750972353621,0.004106776180698152,Bias Model
0.33,0.989908546199937,0.004106776180698152,Bias Model
0.34,0.9883317565436771,0.008213552361396304,Bias Model
0.35000000000000003,0.9859140124040786,0.01026694045174538,Bias Model
0.36,0.9845474613686535,0.012320328542094456,Bias Model
0.37,0.9826553137811416,0.01642710472279261,Bias Model
0.38,0.9803426889519605,0.02053388090349076,Bias Model
0.39,0.9778198255019447,0.022587268993839837,Bias Model
0.4,0.975296962051929,0.022587268993839837,Bias Model
0.41000000000000003,0.9730894565331651,0.022587268993839837,Bias Model
0.42,0.9690949227373068,0.024640657084188913,Bias Model
0.43,0.9649952696310312,0.024640657084188913,Bias Model
0.44,0.9613160937664249,0.024640657084188913,Bias Model
0.45,0.9583727530747398,0.03285420944558522,Bias Model
0.46,0.9547986965205508,0.03696098562628337,Bias Model
0.47000000000000003,0.9501734468621886,0.045174537987679675,Bias Model
0.48,0.9458635551350784,0.055441478439425054,Bias Model
0.49,0.9398717544412909,0.06365503080082136,Bias Model
0.5,0.9343004309891727,0.06570841889117043,Bias Model
0.51,0.9268369599495427,0.07186858316221766,Bias Model
0.52,0.9213707558078419,0.07597535934291581,Bias Model
0.53,0.9133816882161253,0.08008213552361396,Bias Model
